ID,Book,Chapter No.,Name,POV,Page,Chars Introduced
1,A Game of Thrones,0,Prologue,Will,1,3
2,A Game of Thrones,1,Bran I,Bran Stark,11,14
3,A Game of Thrones,2,Catelyn I,Catelyn Tully,19,14
4,A Game of Thrones,3,Daenerys I,Daenerys Targaryen,25,11
5,A Game of Thrones,4,Eddard I,Eddard Stark,36,9
6,A Game of Thrones,5,Jon I,Jon Snow,46,2
7,A Game of Thrones,6,Catelyn II,Catelyn Tully,55,4
8,A Game of Thrones,7,Arya I,Arya Stark,64,4
9,A Game of Thrones,8,Bran II,Bran Stark,72,14
10,A Game of Thrones,9,Tyrion I,Tyrion Lannister,82,3
11,A Game of Thrones,10,Jon II,Jon Snow,88,0
12,A Game of Thrones,11,Daenerys II,Daenerys Targaryen,94,6
13,A Game of Thrones,12,Eddard II,Eddard Stark,104,4
14,A Game of Thrones,13,Tyrion II,Tyrion Lannister,113,4
15,A Game of Thrones,14,Catelyn III,Catelyn Tully,122,2
16,A Game of Thrones,15,Sansa I,Sansa Stark,133,5
17,A Game of Thrones,16,Eddard III,Eddard Stark,147,1
18,A Game of Thrones,17,Bran III,Bran Stark,154,0
19,A Game of Thrones,18,Catelyn IV,Catelyn Tully,159,4
20,A Game of Thrones,19,Jon III,Jon Snow,170,12
21,A Game of Thrones,20,Eddard IV,Eddard Stark,184,5
22,A Game of Thrones,21,Tyrion III,Tyrion Lannister,197,5
23,A Game of Thrones,22,Arya II,Arya Stark,209,5
24,A Game of Thrones,23,Daenerys III,Daenerys Targaryen,219,1
25,A Game of Thrones,24,Bran IV,Bran Stark,230,0
26,A Game of Thrones,25,Eddard V,Eddard Stark,242,6
27,A Game of Thrones,26,Jon IV,Jon Snow,251,6
28,A Game of Thrones,27,Eddard VI,Eddard Stark,264,7
29,A Game of Thrones,28,Catelyn V,Catelyn Tully,275,8
30,A Game of Thrones,29,Sansa II,Sansa Stark,284,17
31,A Game of Thrones,30,Eddard VII,Eddard Stark,295,4
32,A Game of Thrones,31,Tyrion IV,Tyrion Lannister,314,6
33,A Game of Thrones,32,Arya III,Arya Stark,328,0
34,A Game of Thrones,33,Eddard VIII,Eddard Stark,340,2
35,A Game of Thrones,34,Catelyn VI,Catelyn Tully,348,7
36,A Game of Thrones,35,Eddard IX,Eddard Stark,366,6
37,A Game of Thrones,36,Daenerys IV,Daenerys Targaryen,373,0
38,A Game of Thrones,37,Bran V,Bran Stark,383,11
39,A Game of Thrones,38,Tyrion V,Tyrion Lannister,396,3
40,A Game of Thrones,39,Eddard X,Eddard Stark,409,6
