ID,Character,Gender,Alive,Title,Forename,Surname,Old Surname,Alias,Book,Page,Chapter Name,POV
1,Gared,M,D,,Gared,,,,A Game of Thrones,1,Prologue,Will
2,Ser Waymar Royce,M,D,Ser,Waymar,Royce,,,A Game of Thrones,1,Prologue,Will
3,Will,M,D,,Will,,,,A Game of Thrones,1,Prologue,Will
4,"Brandon Stark, Bran",M,A,,Brandon,Stark,,Bran,A Game of Thrones,11,Bran I,Bran Stark
5,"King Mance Rayder, King-Beyond-the-Wall",M,A,King,Mance,Rayder,,King-Beyond-the-Wall,A Game of Thrones,11,Bran I,Bran Stark
6,Old Nan,F,A,,,,,Old Nan,A Game of Thrones,11,Bran I,Bran Stark
7,Robb Stark,M,D,,Robb,Stark,,,A Game of Thrones,11,Bran I,Bran Stark
8,Jon Snow,M,U,,Jon,Snow,,,A Game of Thrones,11,Bran I,Bran Stark
9,Lord Eddard Stark,M,D,Lord,Eddard,Stark,,,A Game of Thrones,12,Bran I,Bran Stark
10,Theon Greyjoy,M,A,,Theon,Greyjoy,,,A Game of Thrones,12,Bran I,Bran Stark
11,King Robert Baratheon,M,D,King,Robert,Baratheon,,,A Game of Thrones,12,Bran I,Bran Stark
12,Jory Cassel,M,D,,Jory,Cassel,,,A Game of Thrones,14,Bran I,Bran Stark
13,Hullen,M,D,,Hullen,,,,A Game of Thrones,16,Bran I,Bran Stark
14,Harwin,M,A,,Harwin,,,,A Game of Thrones,16,Bran I,Bran Stark
15,Ser Rodrik Cassel,M,D,Ser,Rodrik,Cassel,,,A Game of Thrones,17,Bran I,Bran Stark
16,Rickon Stark,M,A,,Rickon,Stark,,,A Game of Thrones,17,Bran I,Bran Stark
17,Desmond,M,D,,Desmond,,,,A Game of Thrones,18,Bran I,Bran Stark
18,Lady Catelyn Stark (Tully),F,D,Lady,Catelyn,Stark,Tully,,A Game of Thrones,19,Catelyn I,Catelyn Tully
19,"Brandon Stark, The Builder",M,D,,Brandon,Stark,,The Builder,A Game of Thrones,20,Catelyn I,Catelyn Tully
20,Arya Stark,F,A,,Arya,Stark,,,A Game of Thrones,20,Catelyn I,Catelyn Tully
21,Sansa Stark,F,A,,Sansa,Stark,,,A Game of Thrones,21,Catelyn I,Catelyn Tully
